Jahr;Monat;DatenTyp;Einheit;WA07019010 Kartoffeln, frisch oder gek�hlt;WA07019050 Fr�hkartoffeln, frisch oder gek�hlt, 1.1.030.6.;WA07019090 Kartoffeln and., frisch oder gek�hlt;Kartoffeln combined;WA07092000 Spargel, frisch oder gek�hlt;WA08051020 S��orangen, frisch                      (bis 2016);WA08051022 Navel0Orangen, frisch;WA08051024 Blondorangen, frisch;WA08051028 S��orangen, a.n.g., frisch;WA08051080 Andere Zitrusfr�chte, frisch oder getrocknet;Orangen combined;WA08055010 Zitronen, frisch oder getrocknet;WA08101000 Erdbeeren, frisch;WA07099390 K�rbisse, a.n.g., frisch oder gek�hlt;WA07020000 Tomaten, frisch oder gek�hlt;WA07031019 Speisezwiebeln, frisch oder gek�hlt;WA07061000 Karotten und Speisem�hren, Speiser�ben, frisch;WA07070005 Gurken, frisch oder gek�hlt;WA07070090 Cornichons, frisch oder gek�hlt;WA07081000 Erbsen (Pisum sativum), frisch oder gek�hlt;WA07095930 Steinpilze, frisch oder gek�hlt;WA07097000 Gartenspinat u.a., frisch oder gek�hlt;WA08081080 Andere �pfel, frisch;WA08083090 Birnen, a.n.g., frisch;WA08102010 Himbeeren, frisch
2008;M�rz;Einfuhr: Wert;Tsd. EUR;40;10142;7470;17652;17080;35528;0;0;0;2;35530;13244;20526;0;80364;7543;10558;36828;87;519;55;1273;40724;0;1464
2008;April;Ausfuhr: Gewicht;t;0;882,2;89714,1;90596,3;677,2;3076,9;0;0;0;3,2;3080,1;635,1;946,1;0;3262;8125,6;3715,4;1739,4;4,9;55,8;0,2;29,7;12464,2;0;38
2008;April;Ausfuhr: Wert;Tsd. EUR;0;224;12325;12549;1819;2303;0;0;0;2;2305;722;2098;0;4158;2347;1494;1502;13;116;6;41;9792;0;285
2008;April;Einfuhr: Gewicht;t;337,2;22354,2;31345;54036,4;9616,8;75610;0;0;0;1;75611;9821,5;25397,7;0;61885,8;29637,2;31042,8;47178,6;166,4;198,7;7,2;699,4;55021,7;0;584,8
2008;April;Einfuhr: Wert;Tsd. EUR;73;8297;7867;16237;30475;43547;0;0;0;8;43555;12709;49206;0;84778;11068;11965;34701;204;521;123;840;46263;0;2796
2008;Mai;Ausfuhr: Gewicht;t;0;1281,7;82935,7;84217,4;1126;2046,3;0;0;0;0;2046,3;1072;1169,6;0;3584,4;10707,6;4168,7;1347,8;0;126,5;0,5;680,2;12462,9;0;33,7
2008;Mai;Ausfuhr: Wert;Tsd. EUR;0;745;10434;11179;3580;1493;0;0;0;0;1493;1573;2508;0;4186;4280;1605;1010;0;305;6;166;9647;0;287
2008;Mai;Einfuhr: Gewicht;t;180,9;36425,7;27666,1;64272,7;7988,5;34741,8;0;0;0;4,2;34746;11727,2;23498,2;0;77256,3;38868,8;31108,2;47921,9;322,7;198,2;3,3;482;62785,5;0;429
2008;Mai;Einfuhr: Wert;Tsd. EUR;37;15247;7396;22680;20542;22707;0;0;0;11;22718;14915;48177;0;101270;15601;13005;34382;258;636;43;475;53454;0;2456
2008;Juni;Ausfuhr: Gewicht;t;1381,5;5037,4;44103,8;50522,7;501,4;1335,1;0;0;0;0,2;1335,3;599,1;4402,2;0;4954,5;4113,6;2547,9;4278,8;0;2188,9;1,8;1498,8;12067,8;0;117
